Date/Time,Word Count,en,fr
2020.06.02-10.01.11,0,0,0
2020.06.02-10.03.15,658,0,658
2020.06.02-11.28.39,658,211,658
2020.06.02-13.40.21,658,658,658
2020.06.04-10.34.26,678,631,678
2020.06.04-10.41.57,678,678,678
2020.06.04-15.55.40,785,669,785
2020.06.04-16.14.00,799,744,799
2020.06.05-10.19.10,800,795,800
2020.06.05-10.20.39,800,800,800
2020.06.10-09.55.08,862,657,862
2020.06.10-10.18.40,862,802,862
2020.06.10-15.36.32,857,790,857
2020.06.10-15.39.17,857,797,857
2020.06.12-15.24.27,880,777,880
2020.06.12-15.34.56,880,848,880
